      minChi  DYJetsToLL   DiBoson          QCD  SingleTop      TTJets  WJetsToLNu       Zinv         EWK      QCDcumn    QCDeff   QCD/EWK  T1tttt(1400,100)  T1tttt(1500,100)  T1tttt(1600,100)  T1tttt(1700,100)
0   0.000000    1.122369  1.539346  1276.143726  37.425409  617.613484   21.565030  13.600849  692.866487  1905.801509  1.000000  1.841832          8.805889          5.016039          3.023888          1.588620
1   0.098125    0.472236  1.017553   380.505156  21.004117  394.344520   15.642477  11.117027  443.597930   629.657783  0.330390  0.857770          7.734568          4.375088          2.670353          1.353780
2   0.196250    0.209331  0.973149   154.629432  11.349975  264.524581   11.648363   8.791347  297.496746   249.152627  0.130734  0.519768          6.865161          3.832733          2.338952          1.196868
3   0.294375    0.100312  0.973149    56.608968   6.686290  173.604478    8.350187   6.915597  196.630013    94.523195  0.049598  0.287896          6.062346          3.406603          2.059374          1.027778
4   0.392500    0.062323  0.591265    19.958845   4.229323  118.614219    5.789535   5.858140  135.144805    37.914227  0.019894  0.147685          5.381057          3.001747          1.799435          0.921322
5   0.490625    0.010887  0.282992    12.094315   3.786417   73.675881    3.848111   4.607353   86.211641    17.955382  0.009421  0.140286          4.711895          2.639427          1.594225          0.827969
6   0.588750    0.010887  0.166029     4.467857   2.003533   50.001966    2.795962   3.439735   58.418112     5.861067  0.003075  0.076481          4.161228          2.272018          1.392412          0.725517
7   0.686875    0.005118  0.165231     0.630148   1.678169   32.462030    1.881787   2.523955   38.716290     1.393210  0.000731  0.016276          3.591930          1.952553          1.178513          0.625203
8   0.785000    0.005118  0.163433     0.630001   1.504012   20.330812    1.114421   1.991717   25.109513     0.763062  0.000400  0.025090          3.075355          1.667168          0.993852          0.505903
9   0.883125    0.000000  0.000000     0.133061   1.455637   10.782680    0.703175   1.350396   14.291888     0.133061  0.000070  0.009310          2.536342          1.378279          0.841338          0.438597
10  0.981250    0.000000  0.000000     0.000000   1.272525    6.787282    0.502550   0.977964    9.540321     0.000000  0.000000  0.000000          2.059650          1.122455          0.695691          0.343005
11  1.079375    0.000000  0.000000     0.000000   0.829382    3.978137    0.373313   0.636756    5.817588     0.000000  0.000000  0.000000          1.654501          0.883383          0.548822          0.276957
12  1.177500    0.000000  0.000000     0.000000   0.277214    1.916045    0.214253   0.505068    2.912580     0.000000  0.000000  0.000000          1.227241          0.634387          0.398930          0.187116
13  1.275625    0.000000  0.000000     0.000000   0.026129    0.719166    0.108536   0.398980    1.252811     0.000000  0.000000  0.000000          0.789658          0.439024          0.273083          0.124861
14  1.373750    0.000000  0.000000     0.000000   0.006737    0.081648    0.022053   0.219697    0.330135     0.000000  0.000000  0.000000          0.395560          0.238279          0.154576          0.070915
15  1.471875    0.000000  0.000000     0.000000   0.006737    0.016016    0.020945   0.192359    0.236057     0.000000  0.000000  0.000000          0.125949          0.075550          0.066169          0.023384
16  1.570000    0.000000  0.000000     0.000000   0.006737    0.015616    0.000000   0.118828    0.141181     0.000000  0.000000  0.000000          0.044656          0.032829          0.022876          0.001530
17  1.668125    0.000000  0.000000     0.000000   0.000000    0.000000    0.000000   0.000000    0.000000     0.000000  0.000000       NaN          0.000000          0.000000          0.000000          0.000000
18  1.766250    0.000000  0.000000     0.000000   0.000000    0.000000    0.000000   0.000000    0.000000     0.000000  0.000000       NaN          0.000000          0.000000          0.000000          0.000000
19  1.864375    0.000000  0.000000     0.000000   0.000000    0.000000    0.000000   0.000000    0.000000     0.000000  0.000000       NaN          0.000000          0.000000          0.000000          0.000000
20  1.962500    0.000000  0.000000     0.000000   0.000000    0.000000    0.000000   0.000000    0.000000     0.000000  0.000000       NaN          0.000000          0.000000          0.000000          0.000000
21  2.060625    0.000000  0.000000     0.000000   0.000000    0.000000    0.000000   0.000000    0.000000     0.000000  0.000000       NaN          0.000000          0.000000          0.000000          0.000000
22  2.158750    0.000000  0.000000     0.000000   0.000000    0.000000    0.000000   0.000000    0.000000     0.000000  0.000000       NaN          0.000000          0.000000          0.000000          0.000000
23  2.256875    0.000000  0.000000     0.000000   0.000000    0.000000    0.000000   0.000000    0.000000     0.000000  0.000000       NaN          0.000000          0.000000          0.000000          0.000000
24  2.355000    0.000000  0.000000     0.000000   0.000000    0.000000    0.000000   0.000000    0.000000     0.000000  0.000000       NaN          0.000000          0.000000          0.000000          0.000000
25  2.453125    0.000000  0.000000     0.000000   0.000000    0.000000    0.000000   0.000000    0.000000     0.000000  0.000000       NaN          0.000000          0.000000          0.000000          0.000000
26  2.551250    0.000000  0.000000     0.000000   0.000000    0.000000    0.000000   0.000000    0.000000     0.000000  0.000000       NaN          0.000000          0.000000          0.000000          0.000000
27  2.649375    0.000000  0.000000     0.000000   0.000000    0.000000    0.000000   0.000000    0.000000     0.000000  0.000000       NaN          0.000000          0.000000          0.000000          0.000000
28  2.747500    0.000000  0.000000     0.000000   0.000000    0.000000    0.000000   0.000000    0.000000     0.000000  0.000000       NaN          0.000000          0.000000          0.000000          0.000000
29  2.845625    0.000000  0.000000     0.000000   0.000000    0.000000    0.000000   0.000000    0.000000     0.000000  0.000000       NaN          0.000000          0.000000          0.000000          0.000000
30  2.943750    0.000000  0.000000     0.000000   0.000000    0.000000    0.000000   0.000000    0.000000     0.000000  0.000000       NaN          0.000000          0.000000          0.000000          0.000000
